model_size,FLOP,loss,num_tokens,d_model,n_layers
816342071.6917455,7.379132017930528e+19,2.5969714788717795,15065441056.750458,1536.0,25.0
632224418.5008065,5.714942452713038e+19,2.628284835801397,15065701053.498478,1536.0,19.0
892666348.4849818,8.345923257729427e+19,2.577587469373751,15582386543.217754,1792.0,20.0
1143252764.7111204,1.1226237865507304e+20,2.5165346421087142,16365931507.053875,1792.0,26.0
1017959646.461467,9.996234063370273e+19,2.554520985765487,16366454371.281178,1792.0,23.0
9293215473.171484,2.8759709657566266e+21,2.2389878269109396,51578325680.33541,4096.0,42.0
6795606774.183874,2.877484491941246e+21,2.205693537488266,70572174728.94025,3584.0,40.0
4516059019.172614,2.988658322978785e+21,2.205693537488266,110297433754.02626,3072.0,36.0
305636065.37064266,2.7198443799154516e+19,2.7449912897159163,14831606868.87042,1024.0,20.0
278352369.6679022,2.531689358631073e+19,2.7697776574701383,15158779748.917963,1024.0,18.0
216725296.4700179,2.538262338199592e+19,2.7780894167931174,19519812865.582577,896.0,18.0
174942929.4398582,2.805746588064054e+19,2.8031746497396575,26730113234.142952,896.0,14.0
278352369.6679022,5.246773944042734e+19,2.6920487981162733,31415659405.035053,1024.0,18.0
139739744.67191777,2.676386982096937e+19,2.836974331044393,31921090027.99672,768.0,15.0
1730544643.2295663,3.239674567410148e+20,2.4276561018218445,31200914888.122765,2304.0,24.0
2282805960.0418572,4.4872472452756085e+20,2.377267094130422,32761196263.284466,2304.0,32.0
2979523284.9358,5.916752737513713e+20,2.3595282724312296,33096752800.625744,2560.0,34.0
2979523284.9358,5.58795306063008e+20,2.3595282724312296,31257534210.71454,2560.0,34.0
2006674804.028572,5.870141868383024e+20,2.331416878272676,48755133422.700165,2304.0,28.0
2006674804.028572,3.9348682727986515e+20,2.398733033445379,32681497643.922054,2304.0,28.0
2297741856.4559455,4.722313114872389e+20,2.370154554190775,34253290185.783543,2560.0,26.0
2638632711.942659,5.8004165431512754e+20,2.3489443598431987,36637766451.90856,2560.0,30.0
2979523284.9358,2.933628569501239e+20,2.434941196776266,16409943744.655392,2560.0,34.0
2282805960.0418572,2.7509650979219705e+20,2.416772019301729,20084676096.543404,2304.0,32.0
2006674804.028572,2.930178015323031e+20,2.398733033445379,24336928015.112755,2304.0,28.0
4516059019.172614,1.986547558937826e+21,2.249076295522973,73314201257.63329,3072.0,36.0
6795606774.183874,3.2208857329498026e+21,2.205693537488266,78994313041.2275,3584.0,40.0
1265594025.961862,2.8748341433077957e+20,2.434941196776266,37858824714.38524,2048.0,22.0
1429233592.893623,3.3672620739824805e+20,2.416772019301729,39266523572.78572,2048.0,25.0
1793810195.868591,4.7174100898016526e+20,2.377267094130422,43830446319.11208,2176.0,28.0
1609080455.189099,4.300440885858786e+20,2.387978623765955,44543462406.22876,2176.0,25.0
1424350704.2452376,3.807673479568956e+20,2.405931333857799,44554493826.79292,2176.0,22.0
9293216132.140877,5.031322209115321e+21,2.1794149286876103,90232884891.06113,4096.0,42.0
424609882.2760728,5.913715592063703e+19,2.640121479394902,23212348710.78956,1280.0,18.0
488546084.93455666,7.022410462811826e+19,2.616495387341047,23956833958.84244,1280.0,21.0
552482255.198699,8.253745547381542e+19,2.585322489772079,24898976301.097374,1280.0,24.0
586598744.4556456,8.77523395351445e+19,2.577587469373751,24932528514.18258,1408.0,21.0
816342264.6441513,1.3610225335222991e+20,2.5052520841348382,27787007820.704086,1536.0,25.0
632224717.3687463,1.093048859167327e+20,2.546878120316004,28814882565.71395,1536.0,19.0
724283696.1953005,1.2679406318186529e+20,2.524086450542411,29176887419.464924,1536.0,22.0
892666559.47756,1.7522877872156135e+20,2.486552675770553,32716355444.843693,1792.0,20.0
1017959887.0686458,1.9993409626954485e+20,2.4569279142530447,32734442487.91936,1792.0,23.0
1143253305.1546533,2.2476722635254736e+20,2.445912595343321,32767195356.60881,1792.0,26.0
73824689.09803498,1.1154027672114962e+19,3.048504933511402,25181340209.242306,640.0,10.0
139739843.75952017,2.4771221111336997e+19,2.836974331044393,29544450178.392525,768.0,15.0
162766111.163614,3.1998570841849094e+19,2.790606978320643,32765390179.69967,768.0,18.0
195834383.67666712,4.443170470998594e+19,2.7449912897159163,37814013960.68172,896.0,16.0
174943218.88932863,4.0593804172664095e+19,2.7697776574701383,38673313957.126724,896.0,14.0
216725655.04994163,5.112922448312967e+19,2.704172606664561,39319467793.93177,896.0,18.0
278352698.62794495,6.829716046060349e+19,2.6599757580335908,40893658056.399666,1024.0,18.0
251069235.8890672,6.475291600084255e+19,2.6799733296868915,42984767243.94665,1024.0,16.0
305636354.3339921,8.031695986077824e+19,2.640121479394902,43797669311.83944,1024.0,20.0
1793812739.8036008,2.7808448870158008e+20,2.4276561018218445,25837376307.557674,2176.0,28.0
1429235619.7955678,2.854585646565311e+20,2.405931333857799,33288022481.247932,2048.0,25.0
2979527510.4183035,9.6478358057193e+20,2.303640402958185,53967369949.23073,2560.0,34.0
2638636453.9830055,9.76866315811358e+20,2.286445840825226,61702722400.22457,2560.0,30.0
2282809197.457954,9.72920941335928e+20,2.2933071812951775,71032432497.30305,2304.0,32.0
2006678124.1453764,9.785929906110134e+20,2.303640402958185,81278023518.57716,2304.0,28.0
1730547097.4430106,9.845628878076404e+20,2.303640402958185,94821929363.87886,2304.0,24.0
1793812739.8036008,5.837678146679801e+20,2.3489443598431987,54239014819.71255,2176.0,28.0
1429235619.7955678,5.764782426318483e+20,2.3595282724312296,67224540009.05107,2048.0,25.0
1730547097.4430106,6.572364015198353e+20,2.3489443598431987,63297555099.86239,2304.0,24.0
2282809197.457954,8.808733756083985e+20,2.314014990235024,64312089434.17204,2304.0,32.0
2979527510.4183035,1.2934573783822256e+21,2.2761948562682948,72352488432.00165,2560.0,34.0
